County,Avg_Temp,Cases_Cum,Cases_Current
Allegany County,15.3,807,624.0085327
Anne Arundel County,17.2,2628,2658.286682
Baltimore County,16.7,3237,3133.823768
Calvert County,18.3,1096,1109.649253
Caroline County,17.7,374,414.3495194
Carroll County,16.6,2539,2415.057443
Cecil County,17.3,1521,1616.143852
Charles County,18.4,685,769.2214398
Dorchester County,17.9,172,202.037369
Frederick County,16.1,2401,2339.939606
Garrett County,14.4,213,108.5340337
Harford County,16.8,2431,2424.461563
Howard County,17.1,3300,3545.952604
Kent County,17.5,446,506.9330896
Montgomery County,17,3932,4041.230992
Prince George's County,17.2,1023,1046.082709
Queen Anne's County,17.6,957,1010.17903
St. Mary's County,18.6,593,561.3065865
Somerset County,18.2,154,160.165731
Talbot County,17.8,533,582.9771597
Washington County,15.8,1092,1181.636352
Wicomico County,18,378,402.9868657
Worcester County,18.1,204,181.5267988
Baltimore City,16.9,667,628.2563422
