sno,year,md_cases,md_ccases,Allegany County,Anne Arundel County,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,St. Mary's County,Somerset County,Talbot County,Washington County,Wicomico County,Worcester County,Baltimore city
1,2001,608,608,1,69,22,38,20,27,31,23,1,10,2,59,68,7,69,39,28,8,11,18,14,9,13,21
2,2002,738,1346,2,66,20,40,7,73,35,25,5,63,0,81,39,15,68,40,43,10,8,19,23,21,22,13
3,2003,691,2037,2,77,13,30,6,86,51,17,3,58,0,86,42,15,49,37,36,8,1,18,21,19,7,9
4,2004,891,2928,1,74,23,37,20,75,60,31,8,117,0,98,94,15,38,63,34,19,7,13,33,20,8,3
5,2005,1235,4163,3,117,0,54,20,140,69,20,5,111,2,89,150,6,216,66,54,10,8,15,53,18,8,1
6,2006,1247,5410,3,164,0,68,22,195,63,19,1,118,0,102,113,21,82,91,53,19,9,35,50,14,5,0
7,2007,2561,7971,7,196,267,83,24,245,93,44,3,220,2,160,352,41,476,102,47,4,10,30,82,18,9,46
8,2008,2218,10189,11,185,238,34,30,134,103,67,20,74,1,126,356,55,334,127,96,21,10,42,54,42,13,45
9,2009,2021,12210,9,193,410,40,33,101,140,83,6,105,1,105,268,34,81,33,78,69,10,50,87,30,19,36
10,2010,1617,13827,11,114,195,24,17,26,113,33,14,111,0,83,237,22,286,69,49,30,2,20,99,7,13,42
11,2011,1350,15177,8,89,187,24,10,44,92,36,14,64,0,94,195,20,243,3,29,13,6,32,72,15,6,54
12,2012,1648,16825,14,112,171,45,38,105,86,65,30,117,0,71,139,48,338,22,57,13,9,39,65,23,9,32
13,2013,1197,18022,33,97,144,63,20,47,59,51,12,82,3,103,91,34,87,7,48,47,11,45,71,19,6,17
14,2014,1372,19394,51,116,199,48,20,66,67,42,11,111,1,113,157,15,135,2,33,44,6,30,54,20,1,30
15,2015,1728,21122,80,107,221,90,14,72,62,21,7,138,3,177,193,19,279,47,33,53,5,20,34,14,0,39
16,2016,1866,22988,86,176,190,70,13,179,68,19,0,134,10,165,133,15,308,58,46,54,7,16,70,10,0,39
17,2017,1888,24876,86,126,212,76,21,173,63,23,13,145,11,160,150,12,210,130,47,65,9,28,65,29,1,33
18,2018,1382,26258,85,90,176,103,4,147,65,8,0,110,14,156,107,9,135,16,30,30,5,12,36,11,4,29
19,2019,1417,27675,70,110,138,49,12,169,61,12,4,126,26,140,115,20,134,22,44,37,6,19,36,12,14,41
20,2020,840,28515,51,70,52,26,10,155,35,9,2,98,16,85,89,8,22,0,25,1,4,6,41,15,7,13
21,2021,908,29423,84,153,81,30,7,87,44,8,4,108,37,84,46,1,14,0,25,5,5,5,32,7,17,24
22,2022,1960,31383,109,127,278,24,6,193,61,29,9,181,84,94,166,14,328,49,22,33,5,21,0,5,22,100
